sex,prof_pos,sectperf,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 
F,RSE,BES,PC_ACT_HC,IS	0.6023 	: 	0.5167 b	: 	0.4293 b	: 	0.442 	0.5617 	0.5443 	0.6386 	0.6187 	: 	0.5753 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,IT	: 	0.113 	0.1071 	0.1025 	0.0979 	0.0936 	0.0949 	0.089 	0.0857 	0.0705 	0.0658 	0.0632 	0.0627 	0.0658 	0.0608 	0.0611 	0.0584 	0.0616 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,JP	: 	: 	: 	: 	0.1546 	0.1461 	0.1467 	0.1392 	0.1448 	0.1304 	0.1229 	0.1152 	0.1193 	0.0995 	0.0919 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,KR	: 	: 	: 	: 	0.307 	0.2622 	0.2385 	0.2183 	0.1994 b	0.1799 d	0.1621 d	0.1331 d	0.1194 d	0.1184 d	0.1098 d	0.0807 d	0.0495 d	0.0436 d	0.0465 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,LT	: 	0.1812 	0.1054 	0.0867 	0.0852 	0.0716 	0.0614 	0.0727 	0.059 	0.0487 	0.0365 	0.0253 	0.0235 	0.0143 	0.0312 	0.0189 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,LU	: 	: 	0.1027 	: 	0.1864 	: 	0.201 	: 	0.3415 e	: 	0.3012 	: 	0.2886 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,LV	: 	: 	0.0941 	0.1065 	0.1018 	0.0695 	0.0438 	0.103 	0.1125 	0.0605 	0.0539 	0.0532 	0.0725 	0.106 	0.1002 	0.1071 	0.0137 	0.0135 	0.0149 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,MK	: 	: 	: 	0.0253 	0.0278 	0.0203 	0.018 	0.0152 	0.0132 	0.0125 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,MT	: 	0.1493 	0.2086 	0.2582 	0.1937 	0.1283 	0.1259 	0.1123 	0.1111 	0.1216 	0.118 	0.0878 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,NL	: 	0.2809 	0.288 	0.2699 b	0.1931 b	: 	0.0849 	: 	0.1043 	: 	0.0773 	: 	0.0573 	: 	0.0735 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
